Title,Content
Tumor-Microenvironment- Responsive Size-Shrinkable Drug-Delivery Nanosystems for Deepened Penetration Into Tumors,"Over the years, the manipulation and clinical application of drug-delivery nanosystems for cancer diseases have attracted a rapid growth of academic research interests, and some nanodrugs have been approved for clinic application. Although encouraging achievements have been made, the potency of nanomedicines in cancer treatment is far from satisfaction, and one significant reason is the inefficient penetration of nanoparticles into solid tumors. Particle size is one of the most significant features that influence diffusion ability of the drug-delivery system in tumors. Size-shrinkable drug-delivery nanosystems possess a size-switchable property that can achieve passive targeting via the enhanced permeability and retention (EPR) effect and transform into ultrasmall particles in tumors for deep penetration into tumors. The tumor microenvironment is characterized by acidic pH, hypoxia, upregulated levels of enzymes, and a redox environment. In this review, we summarize and analyze the current research progresses and challenges in tumor microenvironment responsive size-shrinkable drug-delivery nanosystems. We further expect to present some meaningful proposals and enlightenments on promoting deep penetration into tumors of nanoparticles."
Brave new world revisited: Focus on nanomedicine,"Nanomedicine is at a crossroads: with relatively few success stories in terms of clinical translation despite more and more research on increasingly sophisticated nanomaterials, it is important to consider whether we are on the right track. Indeed, it is crucial that we address the fact that while considerable efforts are being made to overcome barriers to translation from the bench to the clinic, scientists are still struggling to decipher fundamental aspects of nanomaterial interactions with biological systems. We believe that a key to the successful adoption of nanomedicines in oncology and beyond lies in a deeper understanding of underlying biological processes and in decoding interactions between engineered nanomaterials and biological systems. Here we provide an overview of progress in nanomedicine during the past 5 years."
MnO<inf>2</inf>/Porous Carbon Nanotube/MnO<inf>2</inf>Nanocomposites for High-Performance Supercapacitor,"In this paper, a superior supercapacitor nanocomposite based on porous carbon nanotubes (PCNTs), MnO2/PCNT/MnO2, was synthesized, which displayed superior specific capacitance (C = 341.5 F g-1, 2 mV s-1), excellent rate capability (C = 214.3 F g-1, 63% capacity retention, 100 mV s-1), and high cyclic stability (98% efficiency after 6000 charge/discharge cycles). The outstanding improvement of its electrochemical performances resulted from the massive nanopores on the walls of PCNTs, which made more MnO2 nanoparticles filled both in the nanocavity and on the surface of PCNTs as electroactive sites. At the same time, PCNTs improve the electrical conductivity with the pore structure being beneficial to ion exchange, they shorten the ion transport distance, and adjust to the volume expansion and contraction among charge/discharge. In addition, the Mn(IV)/Mn(III) redox electric pair in the nanocavity enhances the capacity storage. Therefore, the MnO2/PCNT/MnO2 nanocomposite shows higher specific capacitance and excellent cyclic stability."
Few-layer bismuthene for checkpoint knockdown enhanced cancer immunotherapy with rapid clearance and sequentially triggered one-for-all strategy,"As a conceptually attractive strategy, the use of immune checkpoint blockade antibodies to treat cancer is limited due to the restrained tumor-infiltrating lymphocytes (TILs), poor accumulation and penetration of antibodies, and deficient checkpoint blockade in malignancies. In this study, we describe a pH and mild photothermal sequentially triggered PD-L1 siRNA release nanosystem, based on monoelemental bismuthene, as a one-for-all strategy to realize enhanced tumor mild photothermal immunotherapy. Under manually controlled NIR irradiation, the bismuthene-based nanosystem simultaneously induces a tumor-enhanced pathological permeability and retention (EPPR) effect, increases TIL recruitment, and triggers programmed siRNA release, thereby amplifying anti-PD-L1 immunotherapy. In addition, the nanosystem’s rapid removal through intestinal and renal clearance mitigates toxicity risk associated with long-term retention. In vivo antitumor experiments demonstrate that this bismuthene-based nanosystem is a promising and effective approach for “cold” tumor management."
Implications of the human gut-brain and gut-cancer axes for future nanomedicine,"Recent clinical and pathological evidence have implicated the gut microbiota as a nexus for modulating the homeostasis of the human body, impacting conditions from cancer and dementia to obesity and social behavior. The connections between microbiota and human diseases offer numerous opportunities in medicine, most of which have limited or no therapeutic solutions available. In light of this paradigm-setting trend in science, this review aims to provide a comprehensive and timely summary of the mechanistic pathways governing the gut microbiota and their implications for nanomedicines targeting cancer and neurodegenerative diseases. Specifically, we discuss in parallel the beneficial and pathogenic relationship of the gut microbiota along the gut-brain and gut-cancer axes, elaborate on the impact of dysbiosis and the gastrointestinal corona on the efficacy of nanomedicines, and highlight a molecular mimicry that manipulates the universal cross-β backbone of bacterial amyloid to accelerate neurological disorders. This review further offers a forward-looking section on the rational design of cancer and dementia nanomedicines exploiting the gut-brain and gut-cancer axes."
Near-infrared light irradiation induced mild hyperthermia enhances glutathione depletion and DNA interstrand cross-link formation for efficient chemotherapy,"DNA alkylating agents generally kill tumor cells by covalently binding with DNA to form interstrand or intrastrand cross-links. However, in the case of cisplatin, only a few DNA adducts (<1%) are highly toxic irreparable interstrand cross-links. Furthermore, cisplatin is rapidly detoxified by high levels of intracellular thiols such as glutathione (GSH). Since the discovery of its mechanism of action, people have been looking for ways to directly and efficiently remove intracellular GSH and increase interstrand cross-links to improve drug efficacy and overcome resistance, but there has been little breakthrough. Herein, we hypothesized that the anticancer efficiency of cisplatin can be enhanced through iodo-thiol click chemistry mediated GSH depletion and increased formation of DNA interstrand cross-links via mild hyperthermia triggered by near-infrared (NIR) light. This was achieved by preparing an amphiphilic polymer with platinum(IV) (Pt(IV)) prodrugs and pendant iodine atoms (iodides). The polymer was further used to encapsulate IR780 and assembled into Pt-I-IR780 nanoparticles. Induction of mild hyperthermia (43 °C) at the tumor site by NIR light irradiation had three effects: (1) it accelerated the GSH-mediated reduction of Pt(IV) in the polymer main chain to platinum(II) (Pt(II)); (2) it boosted the iodo-thiol substitution click reaction between GSH and iodide, thereby attenuating the GSH-mediated detoxification of cisplatin; (3) it increased the proportion of highly toxic and irreparable Pt-DNA interstrand cross-links. Therefore, we find that mild hyperthermia induced via NIR irradiation can enhance the killing of cancer cells and reduce the tumor burden, thus delivering efficient chemotherapy."
Recent progress of therapeutic peptide based nanomaterials: From synthesis and self-assembly to cancer treatment,"Peptides have shown great potential in cancer treatment due to their good biocompatibility and low toxicity. However, the bioavailability and adverse immune response of peptides limit their further translation from bench to bedside. Over the past few decades, various peptide-based nanomaterials have been developed for drug delivery and cancer treatment. Compared with therapeutic peptides alone, self-assembled peptide nanomaterials have obvious advantages, such as improved stability and biodistribution for high-performance cancer therapy. In this review, we have described the synthesis, self-assembly and the anti-cancer application of therapeutic peptides and their conjugates, particularly polymer-peptide conjugates (PPCs)."
Comprehensive analysis of preparation strategies for phase change nanocomposites and nanofluids with brief overview of safety equipment,"The preparation process of the nanocomposites and nanofluids strongly affects their general physical properties and stability in general. They are very sensitive with respect to the quality of the preparation process which should be obtained carefully to produce quality and reliable homogeneous samples. This paper provides a useful analysis in different preparation procedures with the focus on the nano-enhanced phase change materials (NEPCM) and fluids (nanofluids) due to their wide application areas. The preparation processes were identified and categorized together with the key parameters that have an important impact on the preparation process in general. The main problems and issues during the preparation process were discussed and elaborated in detail, gained by a detailed analysis of commonly applied preparation procedures. Since the preparation process of both nanofluids and nanocomposites should be carefully planned regarding the working safety, an overview of the safety equipment was provided as well as an assessment of the toxic potential of nanomaterials. Quality and well obtained preparation process can contribute to the rational utilization of the nanomaterials, and by that, it could reduce negative environmental footprints released from production as well as application of the nanomaterials. The main research findings of this paper provide useful guidelines for researchers dealing with the preparation of nano-enhanced fluids and phase change materials that should be helpful to get insights directed to the complexity of the preparation process and ensure an efficient preparation process."
Identifying Differing Intracellular Cargo Release Mechanisms by Monitoring In Vitro Drug Delivery from MOFs in Real Time,"Metal-organic frameworks (MOFs) have been proposed as biocompatible candidates for the targeted intracellular delivery of chemotherapeutic payloads, but the site of drug loading and subsequent effect on intracellular release is often overlooked. Here, we analyze doxorubicin delivery to cancer cells by MIL-101(Cr) and UiO-66 in real time. Having experimentally and computationally verified that doxorubicin is pore loaded in MIL-101(Cr) and surface loaded on UiO-66, different time-dependent cytotoxicity profiles are observed by real-time cell analysis and confocal microscopy. The attenuated release of aggregated doxorubicin from the surface of Dox@UiO-66 results in a 12 to 16 h induction of cytotoxicity, while rapid release of pore-dispersed doxorubicin from Dox@MIL-101(Cr) leads to significantly higher intranuclear localization and rapid cell death. In verifying real-time cell analysis as a versatile tool to assess biocompatibility and drug delivery, we show that the localization of drugs in (or on) MOF nanoparticles controls delivery profiles and is key to understanding in vitro modes of action."
Mercaptophenylboronic Acid-Activated Gold Nanoparticles as Nanoantibiotics against Multidrug-Resistant Bacteria,"Multidrug-resistant (MDR) bacteria-induced infections are becoming challenging issues threatening human health and life. Current antibiotics can hardly tackle this problem. Herein, we present a strategy to prepare mercaptophenylboronic acid (MBA)-activated gold nanoparticles (Au NPs) as an antibacterial agent against MDR bacteria. Both Au NPs and MBA cannot serve as antibiotics. However, when MBA attaches on Au NPs, the Au-MBA NPs show potent antibacterial activities against Gram-positive MDR clinical isolates (e.g., MDR Staphyloccocus aureus, MDR S. aureus; MDR Staphyloccocus epidermidis, MDR S. epidermidis). Furthermore, Au-MBA NPs show an extremely high median lethal dose (LD50,i.v., 960 mg/kg), which is much higher than those of most of the clinically used antibiotics. As an application example, we dope Au-MBA NPs with electrospun poly(ϵ-caprolactone) (PCL)/gelatin nanofibrous membranes as wound dressings, which show striking ability to remedy S. aureus- or MDR S. aureus-infected full-thickness skin wounds on rats. Our study provides a novel strategy for treating MDR bacteria-infected wounds in a simple, low-cost, and efficient way, which holds promise for broad clinical applications."
Detection of genomic G-quadruplexes in living cells using a small artificial protein,"G-quadruplex (G4) structures formed by guanine-rich nucleic acids are implicated in essential physiological and pathological processes and serve as important drug targets. The genome-wide detection of G4s in living cells is important for exploring the functional role of G4s but has not yet been achieved due to the lack of a suitable G4 probe. Here we report an artificial 6.7 kDa G4 probe (G4P) protein that binds G4s with high affinity and specificity. We used it to capture G4s in living human, mouse, and chicken cells with the ChIP-Seq technique, yielding genome-wide landscape as well as details on the positions, frequencies, and sequence identities of G4 formation in these cells. Our results indicate that transcription is accompanied by a robust formation of G4s in genes. In human cells, we detected up to >123 000 G4P peaks, of which >1/3 had a fold increase of ≥5 and were present in >60% promoters and 70% genes. Being much smaller than a scFv antibody (27 kDa) or even a nanobody (12-15 kDa), we expect that the G4P may find diverse applications in biology, medicine, and molecular devices as a G4 affinity agent."
"Unravelling the Immunotoxicity of Polycaprolactone Nanoparticles-Effects of Polymer Molecular Weight, Hydrolysis, and Blends","Poly-ϵ-caprolactone (PCL) is a biodegradable polyester that has FDA and CE approval as a medical device. Nonetheless, the lack of toxicity exhibited by the polymer cannot be extrapolated to its nanomaterial conformation. Despite PCL-based NPs being widely studied in the biomedical field for their advantages as controlled drug delivery systems, little data describe PCL NPs' toxicity, particularly immunotoxicity. This work assessed different PCL-based delivery systems intended for protein delivery regarding their immunotoxicity and hemocompatibility. Two different molecular weight PCL polymers were used, as well as blends with chitosan and glucan. Results showed that the presence of NaOH during the production of PCL2 NPs and PCL2/glucan NPs induced PCL alkali hydrolysis, generating more reactive groups (carboxyl and hydroxyl) that contributed to an increased toxicity of the NPs (higher reduction in peripheral blood mononuclear cell viability and lower hemocompatibility). PCL2/glucan NPs showed an anti-inflammatory activity characterized by the inhibition of LPS stimulated nitric oxide (NO) and TNF-α. In conclusion, generalizations among different PCL NP delivery systems must be avoided, and immunotoxicity assessments should be performed in the early stage of product development to increase the clinical success of the nanomedicine."
First-principles studies in Mg-based hydrogen storage Materials: A review,"Hydrogen storage efficiency is essential for a booming clean hydrogen energy economy. Mg-based hydrogen storage materials have been intensively investigated due to their advantages of high theoretical storage capacity, satisfactory reversibility and natural abundance. However, the high thermal stability of Mg–H bonds leads to a high dehydrogenation temperature and sluggish kinetics. The construction of models for examining the interactions of hydrogen with Mg(MgH2) and the catalytic mechanism of catalyst additives is important. Therefore, this paper reviews recent advances in modelling and focuses on first-principles calculation applications in hydrogen adsorption, dissociation and diffusion energy calculations on Mg(0001) and high indexed Mg(101-3) surfaces with element doping, strain and alloy additives. The applications of first-principles calculations on the particle size and dehydrogenation of MgH2 are also reviewed."
Understanding the influence of experimental factors on bio-interactions of nanoparticles: Towards improving correlation between in vitro and in vivo studies,"Bionanotechnology has developed rapidly over the past two decades, owing to the extensive and versatile, functionalities and applicability of nanoparticles (NPs). Fifty-one nanomedicines have been approved by FDA since 1995, out of the many NPs based formulations developed to date. The general conformation of NPs consists of a core with ligands coating their surface, that stabilizes them and provides them with added functionalities. The physicochemical properties, especially the surface composition of NPs influence their bio-interactions to a large extent. This review discusses recent studies that help understand the nano-bio interactions of iron oxide and gold NPs with different surface compositions. We discuss the influence of the experimental factors on the outcome of the studies and, thus, the importance of standardization in the field of nanotechnology. Recent studies suggest that with careful selection of experimental parameters, it is possible to improve the positive correlation between in vitro and in vivo studies. This provides a fundamental understanding of the NPs which helps in assessing their potential toxic side effects and may aid in manipulating them further to improve their biocompatibility and biosafety."
A hierarchical assembly strategy for near-infrared photothermal conversion: Unconventional heterogeneous metalla[2]catenanes,"Herein, we report a hierarchical assembly strategy for constructing heterogeneous half-sandwich organometallic D-A (D = π-donor, A = π-acceptor) interlocked structures, and their application in near-infrared (NIR) photothermal conversion. Thienothiophene and diketopyrrolopyrrole groups were selected as the D and A units, leading to two homogeneous metalla[2]catenanes with D-D-D-D and A-A-A-A stacks, respectively. By the ordered secondary assembly of homogeneous metalla[2]catenanes, two unprecedented heterogeneous D-A metalla[2]catenanes comprising an unusual mixed D-A-D-D and unconventional D-A-A-A stacks were realized by the combination of multiple noncovalent interactions, as all demonstrated by a detailed X-ray crystallographic study. Benefiting from the mixed D-A stacking modes, NIR absorption of heterogeneous D-A metalla[2]catenanes is significantly enhanced in contrast to homogeneous metalla[2]catenanes. Thanks to the enhanced NIR absorption and the fluorescence quenching effect from half-sandwich organometallic fragments, heterogeneous D-A metalla[2]catenanes displayed high-performance NIR photothermal conversion properties (η = 27.3%)."
Interaction Analysis of a Plasmodium falciparum PHISTa-like Protein and PfEMP1 Proteins,"Plasmodium falciparum extensively remodels host cells by translocating numerous proteins into the cytoplasm of red blood cells (RBCs) after invasion. Among these exported proteins, members of the Plasmodium helical interspersed subtelomeric (PHIST) family are crucial for host cell remodeling and host-parasite interactions, and thereby contribute to malaria pathogenesis. Herein, we explored the function of PF3D7_1372300, a member of the PHIST/PHISTa-like subfamily. PF3D7_1372300 was highly transcribed and expressed during the blood stage of P. falciparum, and distributed throughout RBCs, but most abundant at the erythrocyte membrane. Specific interaction of PF3D7_1372300 with the cytoplasmic tail of P. falciparum erythrocyte membrane protein 1 (PfEMP1) was revealed by immunofluorescence assay, in vitro intermolecular interaction assays. The interaction sites of PF3D7_1372300 with PfEMP1 ATS domain were found involved more than 30 amino acids (aa) at several positions. The findings deepen our understanding of host-parasite interactions and malaria pathogenesis."
Therapeutic Vaccines for Cancer Immunotherapy,"The rapid development of nanobiotechnology has enabled progress in therapeutic cancer vaccines. These vaccines stimulate the host innate immune response by tumor antigens followed by a cascading adaptive response against cancer. However, an improved antitumor immune response is still in high demand because of the unsatisfactory clinical performance of the vaccine in tumor inhibition and regression. To date, a complicated tumor immunosuppressive environment and suboptimal design are the main obstacles for therapeutic cancer vaccines. The optimization of tumor antigens, vaccine delivery pathways, and proper adjuvants for innate immune response initiation, along with reprogramming of the tumor immunosuppressive environment, is essential for therapeutic cancer vaccines in triggering an adequate antitumor immune response. In this review, we aim to review the challenges in and strategies for enhancing the efficacy of therapeutic vaccines. We start with the summary of the available tumor antigens and their properties and then the optimal strategies for vaccine delivery. Subsequently, the vaccine adjuvants focused on the intrinsic adjuvant properties of nanostructures are further discussed. Finally, we summarize the combination strategies with therapeutic cancer vaccines and discuss their positive impact in cancer immunity."
SERS-Active MIL-100(Fe) Sensory Array for Ultrasensitive and Multiplex Detection of VOCs,"The application of metal–organic frameworks (MOFs) as SERS-active platforms in multiplex volatile organic compounds (VOCs) detection is still unexplored. Herein, we demonstrate that MIL-100 (Fe) serves as an ideal SERS substrate for the detection of VOCs. The limit of detection (LOD) of MIL-100(Fe) for toluene sensing can reach 2.5 ppm, and can be even further decreased to 0.48 ppb level when “hot spots” in between Au nanoparticles are employed onto MIL-100 (Fe) substrate, resulting in an enhancement factor of 1010. Additionally, we show that MIL-100(Fe) substrate has a unique “sensor array” property allowing multiplex VOCs detection, with great modifiability and expandability by doping with foreign metal elements. Finally, the MIL-100(Fe) platform is utilized to simultaneously detect the different gaseous indicators of lung cancer with a ppm detection limit, demonstrating its high potential for early diagnosis of lung cancer in vivo."
A microfluidic chip for screening high-producing hybridomas at single cell level,"Hybridomas are a commonly used, or even the only option, for laboratory study and pilot production of monoclonal antibodies (mAbs), which are crucial for both targeted therapy and biomedical study. A long-term culture of hybridomas will inevitably induce a heterogenization of the whole hybridoma population, resulting in a continuous growth of non-producing hybridomas. To overcome the limits of existing methods of screening heterogeneous hybridomas, in which the whole multi-round screening process is performed in multi-well plates or other discrete modules, this study presents a novel method in which all processing steps of a multi-round hybridoma screening are finished in a single microfluidic chip. This microfluidic chip comprehensively performs hybridoma trapping/proliferating/transferring and fluorescent identification of protein-antibody binding at single cell level. By performing a two-round screening of anti-CD45 mAb secreting hybridomas, the novel microfluidic chip was proved capable of screening several single high-producing hybridomas with minimum cell loss/human labor/time cost, and more importantly, enhanced accuracy and definite monoclonality, which is one of the most important properties of mAb production."
Uracil-DNA-glycosylase-assisted loop-mediated isothermal amplification for detection of bacteria from urine samples with reduced contamination,"Loop-mediated isothermal amplification (LAMP) is a useful molecular biology technology for analytical applications, but it is prone to contamination because of escaped aerosols, leading to false positive results. This report establishes an integrated, rapid, and accurate method to detect bacteria in urine samples by incorporating uracil-DNA-glycosylase (UDG) into real-time loop-mediated isothermal amplification (RT-LAMP). To do this, nucleic acids from five clinically important uropathogens, including Escherichia coli, Pseudomonas aeruginosa, Klebsiella pneumoniae, Proteus mirabilis, and Enterococcus faecalis, were directly captured and concentrated using Flinders Technology Associates (FTA) Elute cards. Following elution, the extracted DNAs were specifically amplified with sets of LAMP primers. The added UDG in the modified LAMP reaction excises uracils from previously amplified products or contaminants and generates apyrimidinic (AP) sites, reducing false positive rates. This UDG-assisted RT LAMP strategy was able to degrade carryover contaminants to as little as 1 femtogram (10-15 g). The assay showed a limit of detection of 104 CFU mL-1 with a sensitivity of 94.1% and a specificity of 95.0%. Both the sensitivity and specificity were improved compared to LAMP carried out without UDG. Our results indicate that the UDG-assisted RT LAMP is of great potential for rapid and precise analysis of nucleic acids in real applications. This journal is"
A bifunctional DNA probe for sensing pH and microRNA using a nanopore,We have developed a bifunctional probe based on triplex molecular beacons for the measurement of environmental pH and quantification of microRNA-10b using a nanopore. The probe responds sharply to solution pH changes in the range of 6.0-7.5. The limit of detection for microRNA-10b is as low as 5.0 pM. This journal is
Density Functional Theory-Based Method to Predict the Activities of Nanomaterials as Peroxidase Mimics,"A wide variety of nanomaterials possess peroxidase-like catalytic activities and show promise as cost-effective and versatile replacements for natural peroxidases. However, a universal tool for predicting the activities of these materials is still lacking, thus hindering the efficient discovery of nanomaterials as peroxidase mimics. Here, we use density functional theory calculations to reveal the peroxidase-mimetic mechanisms for a series of iron-oxide nanosurfaces, and we derive a volcano-shaped plot of catalytic activity as a function of simple energy-based descriptors. The activity curves and the descriptors can be used to predict peroxidase-like activities for not only iron oxides but also other nanomaterials that share similar catalytic mechanisms. The results demonstrate that the method developed herein can systematically predict the peroxidase-like activities of nanomaterials and thus is expected to be of use for computer-aided design of nanomaterial-based peroxidase mimics."
Single-Cell Isotope Dilution Analysis with LA-ICP-MS: A New Approach for Quantification of Nanoparticles in Single Cells,"Laser ablation-inductively coupled plasma-mass spectrometry (LA-ICP-MS) is an emerging method for the analysis of metal nanoparticles (NPs) in single cells. However, two main obstacles, low analytical throughput and lack of commercial reference materials, need to be overcome. In this work, we demonstrated the principles of a new approach termed ""single-cell isotope dilution analysis""(SCIDA) to remove the two obstacles. For a proof of concept, macrophage cells were chosen as a model to study the uptake of silver NPs (AgNPs) at a single-cell level. Single cells exposed to AgNPs were placed in an array by a microfluidic technique; each cell in the array was precisely dispensed with a known picoliter droplet of an enriched isotope solution with a commercial inkjet printer; accurate quantification of AgNPs in single cells was done by using isotope dilution LA-ICP-MS. The average Ag mass of 1100 single cells, 396 ± 219 fg Ag per cell, was in good accord with the average of the population of cells determined by solution ICP-MS analysis. The detection limit was 0.2 fg Ag per cell. The SCIDA approach is expected to be widely applied for the study of cell-NP interactions and biological effects of NPs at the single-cell level."
Sustainable use of nanomaterials in textiles and their environmental impact,"At present, nanotechnology is a priority in research in several nations due to its massive capability and financial impact. However, due to the uncertainties and abnormalities in shape, size, and chemical compositions, the existence of certain nanomaterials may lead to dangerous effects on the human health and environment. The present review includes the different advanced applications of nanomaterials in textiles industries, as well as their associated environmental and health risks. The four main textile industry fields using nanomaterials, nanofinishing, nanocoatings, nanofibers, and nanocomposites, are analyzed. Different functional textiles with nanomaterials are also briefly reviewed. Most textile materials are in direct and prolonged contact with our skin. Hence, the influence of carcinogenic and toxic substances that are available in textiles must be comprehensively examined. Proper recognition of the conceivable benefits and accidental hazards of nanomaterials to our surroundings is significant for pursuing its development in the forthcoming years. The conclusions of the current paper are anticipated to increase awareness on the possible influence of nanomaterial-containing textile wastes and the significance of better regulations in regards to the ultimate disposal of these wastes."
Probing the immune responses to nanoparticles across environmental species. A perspective of the EU Horizon 2020 project PANDORA,"Understanding how engineered nanomaterials affect immune responses of living organisms requires a strong collaborative effort between immunologists, toxicologists, ecologists, physiologists, inorganic chemists, nanomaterial scientists and experts in law and risk management. This perspective aims to provide a new viewpoint on the interaction between engineered nanomaterials and the immune defensive systems across living species, gained within the EU Horizon 2020 project PANDORA. We consider the effects of nanoparticle exposure on immune functions in plants, marine and terrestrial invertebrates and their relation to the current state of knowledge for vertebrates (in particular humans). These studies can shed light on the broader perspective of defensive and homeostatic mechanisms (immunity, inflammation, stress responses, microbiota, stem cell differentiation) suggesting ways to: i) perform a comparative analysis of the nanoparticle impact on immunity across model organisms; ii) inspire best practices in experimental methodologies for nanosafety/nanotoxicity studies; iii) regroup and harmonise fragmented research activities; iv) improve knowledge transfer strategies and nano-security; v) propose innovative tools and realistic solutions, thereby helping in identifying future research needs and tackling their challenges. This journal is"
Potential of nanonutraceuticals in increasing immunity,"Nutraceuticals are defined as foods or their extracts that have a demonstrably positive effect on human health. According to the decision of the European Food Safety Authority, this positive effect, the so-called health claim, must be clearly demonstrated best by performed tests. Nutraceuticals include dietary supplements and functional foods. These special foods thus affect human health and can positively affect the immune system and strengthen it even in these turbulent times, when the human population is exposed to the COVID-19 pandemic. Many of these special foods are supplemented with nanoparticles of active substances or processed into nanoformulations. The benefits of nanoparticles in this case include enhanced bioavailability, controlled release, and increased stability. Lipid-based delivery systems and the encapsulation of nutraceuticals are mainly used for the enrichment of food products with these health-promoting compounds. This contribution summarizes the current state of the research and development of effective nanonutraceuticals influencing the body’s immune responses, such as vitamins (C, D, E, B12, folic acid), minerals (Zn, Fe, Se), antioxidants (carotenoids, coenzyme Q10, polyphenols, curcumin), omega-3 fatty acids, and probiotics."
Understanding nanoparticle toxicity to direct a safe-by-design approach in cancer nanomedicine,"Nanomedicine is a rapidly growing field that uses nanomaterials for the diagnosis, treatment and prevention of various diseases, including cancer. Various biocompatible nanoplatforms with diversified capabilities for tumor targeting, imaging, and therapy have materialized to yield individualized therapy. However, due to their unique properties brought about by their small size, safety concerns have emerged as their physicochemical properties can lead to altered pharmacokinetics, with the potential to cross biological barriers. In addition, the intrinsic toxicity of some of the inorganic materials (i.e., heavy metals) and their ability to accumulate and persist in the human body has been a challenge to their translation. Successful clinical translation of these nanoparticles is heavily dependent on their stability, circulation time, access and bioavailability to disease sites, and their safety profile. This review covers preclinical and clinical inorganic-nanoparticle based nanomaterial utilized for cancer imaging and therapeutics. A special emphasis is put on the rational design to develop non-toxic/safe inorganic nanoparticle constructs to increase their viability as translatable nanomedicine for cancer therapies."
Interplanar Growth of 2D Non-Van der Waals Co<inf>2</inf>N-Based Heterostructures for Efficient Overall Water Splitting,"The design and synthesis of 2D heterostructured materials for water splitting are normally based on van der Waals (vdW) nanosheets, but this approach is gradually approaching a performance ceiling in terms of activity and stability. Herein, a novel heterostructured system is explored based on 2D non-vdW and conductive nanosheets. Notably, the interplanar growth of 2D non-vdW Co2N nanosheets is realized between graphene layers in the current collector of carbon fiber papers (CPs), generating an interlocking structure within CPs. The exposed surface of Co2N nanosheets possesses a high surface energy that anchors highly active CoNC, forming 2D CoNC@Co2N heterostructures outside CPs. This integrated electrocatalytic system bridged by non-vdW Co2N nanosheets presents a low overpotential of 1.52 V and an excellent stability of 280 h, which outperform most bifunctional and nonprecious-metal-based electrocatalysts in alkaline media, owing to the nature of 2D non-vdW nanosheets and the formation of strong and conductive connections among CoNC, nanosheets, and CPs."
Multiparametric Profiling of Engineered Nanomaterials: Unmasking the Surface Coating Effect,"Despite considerable efforts, the properties that drive the cytotoxicity of engineered nanomaterials (ENMs) remain poorly understood. Here, the authors inverstigate a panel of 31 ENMs with different core chemistries and a variety of surface modifications using conventional in vitro assays coupled with omics-based approaches. Cytotoxicity screening and multiplex-based cytokine profiling reveals a good concordance between primary human monocyte-derived macrophages and the human monocyte-like cell line THP-1. Proteomics analysis following a low-dose exposure of cells suggests a nonspecific stress response to ENMs, while microarray-based profiling reveals significant changes in gene expression as a function of both surface modification and core chemistry. Pathway analysis highlights that the ENMs with cationic surfaces that are shown to elicit cytotoxicity downregulated DNA replication and cell cycle responses, while inflammatory responses are upregulated. These findings are validated using cell-based assays. Notably, certain small, PEGylated ENMs are found to be noncytotoxic yet they induce transcriptional responses reminiscent of viruses. In sum, using a multiparametric approach, it is shown that surface chemistry is a key determinant of cellular responses to ENMs. The data also reveal that cytotoxicity, determined by conventional in vitro assays, does not necessarily correlate with transcriptional effects of ENMs."
One-step synthesis of the reduced graphene oxide@NiO composites for supercapacitor electrodes by electrode-assisted plasma electrolysis,"An electrode-assisted plasma electrolysis is developed to synthesize the reduced graphene oxide@NiO (rGO@NiO) composites as supercapacitor electrode materials. The method is fast and efficient, realizing one-step synthesis for the rGO@NiO composites. The composition, morphologies, electrochemical properties, and deposition dynamics of rGO@NiO composites are systematically investigated in current work. The results of X-ray diffraction (XRD) and Raman spectra show that NiO is synthesized on the rGO. The weight ratio of NiO in the rGO@NiO composites is about 50.2% by thermo gravimetric analysis (TGA). Transmission electron microscope (TEM) exhibits that lots of nanoparticles distribute uniformly relatively on the rGO, and the diameter of nanoparticles is mostly in 30–80 nm. The as-prepared rGO@NiO composite displays a specific capacitance of 1093 F·g−1 at 1 A·g−1 current density. In addition, it exhibits an excellent cycle stability, and still keeps ~87% of the original capacitance and 90.6% coulombic efficiency after 5000 cycles. Based on the electrochemical theory, the electrode-assisted plasma electrolysis process is dominated by the electrochemical polarization, shortening the deposition process and realizing a fast synthesis for the rGO@NiO composites. The synthesis method, electrode-assisted plasma electrolysis, presents a promising route for the efficient and rapid preparation of rGO-metal oxide composites as energy storage materials."
Trends in nanoformulations for atopic dermatitis treatment,"Introduction: Immunological skin dysfunctions trigger the synthesis and release of inflammatory cytokines, which induce recurrent skin inflammation associated with chronic itching, inefficient barrier behavior, and reduced skin hydration. These features characterize a multifactorial chronic inflammatory disease atopic dermatitis (AD). AD therapy includes anti-inflammatory drugs and immunosuppressors as well as non-pharmacological alternatives such as emollients, moisturizers, and lipids (ceramides, phospholipids) for modulating the skin hydration and the barrier repair. However, these treatments are inconvenient with low drug skin penetration and insufficient maintenance on the application site. Areas covered: Nanotechnology-based therapies can be a great strategy to overcome these limitations. Considering the particular skin morphological organization, SC lipid matrix composition, and immunological functions/features related to nanocarriers, this review focuses on recent developments of nanoparticulate systems (polymeric, lipid-based, inorganic) as parent or hybrid systems including their chemical composition, physico-chemical and biopharmaceutical properties, and differential characteristics that evaluate them as new effective drug-delivery systems for AD treatment. Expert opinion: Despite the several innovative formulations, research in nanotechnology-based carriers should address specific aspects such as the use of moisturizers associated to pharmacological therapies, toxicity studies, scale-up production processes and the nanocarrier influence on immunological response. These approaches will help researchers choose the most appropriate nanocarrier system and widen nanomedicine applications and commercialization."
